sample_key,target_x
user_0_sample_0,-812
user_0_sample_100,-812
user_0_sample_101,-812
user_0_sample_102,-812
user_0_sample_103,-812
user_0_sample_104,-812
user_0_sample_105,-812
user_0_sample_106,-812
user_0_sample_107,-812
user_0_sample_108,-812
user_0_sample_109,-812
user_0_sample_10,-812
user_0_sample_110,-812
user_0_sample_111,-812
user_0_sample_112,-812
user_0_sample_113,-812
user_0_sample_114,-812
user_0_sample_115,-812
user_0_sample_116,-812
user_0_sample_117,-812
user_0_sample_118,-812
user_0_sample_119,-812
user_0_sample_11,-812
user_0_sample_120,-812
user_0_sample_121,-812
user_0_sample_122,-812
user_0_sample_123,-812
user_0_sample_124,-812
user_0_sample_125,-812
user_0_sample_126,-812
user_0_sample_127,-812
user_0_sample_128,-812
user_0_sample_129,-812
user_0_sample_12,-812
user_0_sample_130,-812
user_0_sample_131,-812
user_0_sample_132,-812
user_0_sample_133,-812
user_0_sample_134,-812
user_0_sample_135,-812
user_0_sample_136,-812
user_0_sample_137,-812
user_0_sample_138,-812
user_0_sample_139,-812
user_0_sample_13,-812
user_0_sample_140,-812
user_0_sample_141,-812
user_0_sample_142,-812
user_0_sample_143,-812
user_0_sample_144,-812
user_0_sample_145,-812
user_0_sample_146,-812
user_0_sample_147,-812
user_0_sample_148,-812
user_0_sample_149,-812
user_0_sample_14,-812
user_0_sample_150,-812
user_0_sample_151,-812
user_0_sample_152,-812
user_0_sample_153,-812
user_0_sample_154,-812
user_0_sample_155,-812
user_0_sample_156,-812
user_0_sample_157,-812
user_0_sample_158,-812
user_0_sample_159,-812
user_0_sample_15,-812
user_0_sample_160,-812
user_0_sample_161,-812
user_0_sample_162,-812
user_0_sample_163,-812
user_0_sample_164,-812
user_0_sample_165,-812
user_0_sample_166,-812
user_0_sample_167,-812
user_0_sample_168,-812
user_0_sample_169,-812
user_0_sample_16,-812
user_0_sample_170,-812
user_0_sample_171,-812
user_0_sample_172,-812
user_0_sample_173,-812
user_0_sample_174,-812
user_0_sample_175,-812
user_0_sample_176,-812
user_0_sample_177,-812
user_0_sample_178,-812
user_0_sample_179,-812
user_0_sample_17,-812
user_0_sample_180,-812
user_0_sample_181,-812
user_0_sample_182,-812
user_0_sample_183,-812
user_0_sample_184,-812
user_0_sample_185,-812
user_0_sample_186,-812
user_0_sample_187,-812
user_0_sample_188,-812
user_0_sample_189,-812
user_0_sample_18,-812
user_0_sample_190,-812
user_0_sample_191,-812
user_0_sample_192,-812
user_0_sample_193,-812
user_0_sample_194,-812
user_0_sample_195,-812
user_0_sample_196,-812
user_0_sample_197,-812
user_0_sample_198,-812
user_0_sample_199,-812
user_0_sample_19,-812
user_0_sample_1,-812
user_0_sample_200,-812
user_0_sample_201,-812
user_0_sample_202,-812
user_0_sample_203,-812
user_0_sample_204,-812
user_0_sample_205,-812
user_0_sample_206,-812
user_0_sample_207,-812
user_0_sample_208,-812
user_0_sample_209,-812
user_0_sample_20,-812
user_0_sample_210,-812
user_0_sample_211,-812
user_0_sample_212,-812
user_0_sample_213,-812
user_0_sample_214,-812
user_0_sample_215,-812
user_0_sample_216,-812
user_0_sample_217,-812
user_0_sample_218,-812
user_0_sample_219,-812
user_0_sample_21,-812
user_0_sample_220,-812
user_0_sample_221,-812
user_0_sample_222,-812
user_0_sample_223,-812
user_0_sample_224,-812
user_0_sample_225,-812
user_0_sample_226,-812
user_0_sample_227,-812
user_0_sample_228,-812
user_0_sample_229,-812
user_0_sample_22,-812
user_0_sample_230,-812
user_0_sample_231,-812
user_0_sample_232,-812
user_0_sample_233,-812
user_0_sample_234,-812
user_0_sample_235,-812
user_0_sample_236,-812
user_0_sample_237,-812
user_0_sample_238,-812
user_0_sample_239,-812
user_0_sample_23,-812
user_0_sample_24,-812
user_0_sample_25,-812
user_0_sample_26,-812
user_0_sample_27,-812
user_0_sample_28,-812
user_0_sample_29,-812
user_0_sample_2,-812
user_0_sample_30,-812
user_0_sample_31,-812
user_0_sample_32,-812
user_0_sample_33,-812
user_0_sample_34,-812
user_0_sample_35,-812
user_0_sample_36,-812
user_0_sample_37,-812
user_0_sample_38,-812
user_0_sample_39,-812
user_0_sample_3,-812
